,Job title,Type of position,Job Location,Job description,Working type,Contact,Achievements,Base salary,Equity
0,Senior Software Engineer (LavaMoat/Security Lab),Full-time,GLOBAL - Remote,https://consensys.net/open-roles/gh_jid?gh_jid=4788493,Others,talentre,Null,Not Posted,Not Posted
1,Business Development Associate (San Francisco Bay Area - Silicon Valley),Full-time,"San Francisco Bay Area, CA / Remote",https://jobs.lever.co/certik/8a3505fe-36a1-48a5-b3f7-b021da58582c,Others,talentre,Null,Not Posted,Not Posted
2,"Backend Engineer, On-Chain Data",Full-time,Remote - US,https://boards.greenhouse.io/messari/jobs/4170122005,Engineering,talentre,Null,Not Posted,Not Posted
3,Compliance Officer (SG),Full-time,"Singapore, Singapore, Singapore",https://apply.workable.com/j/2FCD801099,Others,talentre,Null,Not Posted,Not Posted
4,IT Helpdesk Specialist,Full-time,"Kansas City, Missouri",https://boards.greenhouse.io/mythicalgames/jobs/5463953003,Engineering,talentre,Null,Not Posted,Not Posted
5,Lending Crypto Specialist,Full-time,"New York, NY, United States",https://securitize.bamboohr.com/jobs/view/105,Others,talentre,Null,Not Posted,Not Posted
6,App Marketplace Marketing Lead - Flow Blockchain,Full-time,"US / Canada, Remote",https://jobs.lever.co/axiomzen/6be868ce-9be2-43da-9ff1-92e8b3edadcb?lever-origin=applied&lever-source%5B%5D=fenbushi%2520capital,Marketing,talentre,Null,Not Posted,Not Posted
7,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
8,"VP/Associate, Institutional Sales & Business Development (SG)",Full-time,"Singapore, Singapore, Singapore",https://apply.workable.com/j/594046CBBB,Others,talentre,Null,Not Posted,Not Posted
9,"Software Engineer, API",Full-time,Remote - US,https://boards.greenhouse.io/messari/jobs/4169486005,Engineering,talentre,Null,Not Posted,Not Posted
10,"Software Engineer, Market Data",Full-time,Remote - US,https://boards.greenhouse.io/messari/jobs/4169485005,Others,talentre,Null,Not Posted,Not Posted
11,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
12,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
13,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
14,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
15,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
16,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
17,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
18,"Director, Identity and Access Management",Full-time,Seattle  - will also consider remote in US,https://boards.greenhouse.io/circle/jobs/6552387002,Others,talentre,Null,Not Posted,Not Posted
